	avg score
10	2.0229999547824202
20	3.452499922830599
30	6.206499861273917
40	15.021999664232128
50	15.414499655459073
60	18.56099958512933
70	17.908999599702646
80	22.085499506350615
90	30.53899931740011
100	34.5654992274009
110	34.091999237984446
120	38.31449914360437
130	34.90549921980127
140	34.55399922765795
150	36.32649918803956
